동물보호센터명,관리기관명,동물보호센터유형,구조대상동물,소재지도로명주소,소재지지번주소,위도,경도,동물보호센터지정일자,평일운영시작시각,평일운영종료시각,평일분양시작시각,평일분양종료시각,주말운영시작시각,주말운영종료시각,주말분양시작시각,주말분양종료시각,휴무일,수의사인원수,사양관리사인원수,진료실수,사육실수,격리실수,사료보관실수,구조운반용차량보유대수,전화번호,데이터기준일자,제공기관코드,제공기관명,
증평가정견훈련소,괴산군,개인,유기견,충청북도 증평군 도안면 입장길 239,충청북도 증평군 도안면 송정리 12-3,36.8469650863,127.608237116,2018-08-06,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,-,0,2,1,1,1,1,1,000-0000-0000,2019-06-21,4460000,충청북도 괴산군,
고성군임시보호소,고성군청,개인,개,,강원도 고성군 죽왕면 가진리 460번지,38.369034,128.493527,2018-07-02,09:00,18:00,09:00,18:00,24:00,24:00,24:00,24:00,공휴일,0,1,0,2,1,1,1,033-680-3723,2018-08-21,4340000,강원도 고성군,
중부벳동물병원,충청남도 아산시청,동물병원,"개+고양이+미니돼지+양,염소+설치류+파충류+애완조류",충청남도 아산시 염치읍 충무로 295-9,충청남도 아산시 염치읍 석정리 99-21,36.806046,127.005281,2016-07-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,연중무휴,1,2,1,2,1,1,2,041-533-3563,2018-10-08,4520000,충청남도 아산시,
(사)한국야생동물보호협회 경기도남부지회,안산시농업기술센터 농업정책과,법인,개+토끼+앵무새,경기도 안산시 상록구 청곡길 50(부곡동),경기도 안산시 상록구 부곡동 231-5,37.340129,126.870048,2016-12-28,00:00,23:59,09:00,18:00,,,,,연중무휴,1,3,1,5,2,1,1,031-296-0124,2019-07-05,3930000,경기도 안산시,
이리온동물병원 안산점,안산시농업기술센터 농업정책과,동물병원,고양이,"경기도 안산시 단원구 한양대학로 208,2층","경기도 안산시 단원구 고잔동 730-3,2층",37.313537,126.836745,2019-06-06,00:00,23:59,09:00,18:00,,,,,"토, 일, 공휴일(구조는 가능)",1,2,1,1,1,1,1,031-410-3777,2019-07-05,3930000,경기도 안산시,
(사)한국동물구조관리협회,포천시청,법인,"개,고양이",경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.870403,126.983214,2017-10-18,09:00,18:00,09:00,16:00,09:00,18:00,09:00,16:00,매주 일,1,8,1,6,1,1,5,031-867-9119,2019-05-15,5600000,경기도 포천시,
점곡동물보호센터,경상북도 청송군청,개인,개,경상북도 청송군 현동면 도평리 149,,36.304104,129.0522909,2014-10-01,09:00,18:00,,,,,,,주말+공휴일,0,0,,,,,,054-870-6282,2019-04-30,5160000,경상북도 청송군,
청송동물보호센터,경상북도 청송군청,개인,개,경상북도 청송군 청송읍 부곡길 66,,36.446007,129.083139,2018-01-01,09:00,18:00,,,,,,,주말+공휴일,0,0,,,,,,054-870-6282,2019-04-30,5160000,경상북도 청송군,
창원유기동물보호소,농업기술센터 창원기술지원과,법인,개,경상남도 창원시 의창구 창이대로 71 (명서동),경상남도 창원시 의창구 명서동 211,35.238491,128.645565,2003-01-01,09:00,18:00,15:00,16:00,,,,,주말 및 공휴일,0,1,1,3,1,1,0,055-225-5391,2018-06-30,5670000,경상남도 창원시,
마산유기동물보호소,농업기술센터 마산기술지원과,법인,개,경상남도 창원시 마산합포구 지산2길 139-112,경상남도 창원시 마산합포구 진북면 지산리 171-12,35.119419,128.468229,2008-03-28,09:00,18:00,15:00,16:00,,,,,주말 및 공휴일,0,1,0,1,1,1,1,055-225-5625,2018-06-30,5670000,경상남도 창원시,
진해유기동물보호소,농업기술센터 진해기술지원과,법인,개,경상남도 창원시 진해구 웅천로 218 (성내동),경상남도 창원시 진해구 성내동 205,35.114028,128.754279,2010-11-01,09:00,18:00,15:00,16:00,,,,,주말 및 공휴일,0,1,1,1,1,1,1,055-225-5703,2018-06-30,5670000,경상남도 창원시,
사천시유기동물보호센터,농축산과,단체,개,경상남도 사천시 흥신로 514,경상남도 사천시 곤명면 신흥리 878-2,35.115105,127.999155,2017-01-02,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,0,1,1,10,2,1,1,055-831-0000,2019-04-16,5340000,경상남도 사천시,
한국동물구조관리협회,의정부시청,법인,개,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1번지,37.8700531,126.9831861,2013-12-24,09:00,18:00,09:00,18:00,,,,,공휴일,1,7,1,7,1,1,6,031-867-9119,2019-04-01,3820000,경기도 의정부시,
무안군유기동물센터,전라남도 무안군청,개인,개+고양이,전라남도 무안군 무안읍 창포로 478-29,전라남도 무안군 무안읍 신학리 869,34.9806726,126.4348844,2017-02-04,09:00,18:00,09:00,18:00,,,,,토요일+일요일,0,1,,2,1,1,1,000-000-0000,2019-06-26,4950000,전라남도 무안군,
(사단)한국동물구조관리협회,서울특별시 서대문구청,법인,개 등 주인을 잃은 반려동물,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.871359,126.983988,2017-03-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,"일요일, 공휴일",01,07,01,06,01,01,05,031-867-9119,2019-02-12,3120000,서울특별시 서대문구,
수성구유기동물보호센터,대구시수의사회,법인,"개,고양이,기타반려동물",대구광역시 북구 호국로 229,대구광역시 북구 서변동 1783-3,35.922372,128.599029,2017-01-01,09:00,18:00,09:00,18:00,,,,,국정공휴일,5,5,3,34,36,3,2,053-764-3708,2018-07-31,3460000,대구광역시 수성구,
광주광역시동물보호소,광주광역시청,단체,유기동물,광주광역시 북구 본촌마을길 25,광주광역시 북구 본촌동 379-4,35.222608,126.8817785,2011-07-01,09:00,18:00,10:00,16:00,09:00,18:00,10:00,16:30,없음,1,7,1,9,3,1,1,062-571-2808,2019-06-04,6290000,광주광역시,
군산유기동물임시보호소,도그랜드,동물병원,개,전라북도 군산시 대야면 보덕안정길 108-20,전라북도 군산시 대야면 보덕리 828-2,35.960226,126.816960,2018-02-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,0,1,0,5,0,0,2,063-454-2870,2019-04-12,4670000,전라북도 군산시,
부산동물보호센터,경상남도 김해시청,단체,유기동물,부산광역시 강서구 군라2길 206,부산광역시 강서구 대저2동 5443-14,35.1345653,128.9282488,2017-01-01,09:00,18:00,13:00,17:00,11:00,12:30,11:00,12:30,"일요일, 공휴일",1,5,1,7,2,3,2,051-832-7119,2019-06-24,5350000,경상남도 김해시,
영덕동물보호센터,경상북도 영덕군청,법인,개+고양이,경상북도 영덕군 영덕읍 구미2길 14-1,,36.437289,129.355743,2017-10-23,09:00,18:00,,,,,,,연중무휴,1,1,,,,,,054-730-6286,2018-09-03,5180000,경상북도 영덕군,
정주동물병원,전라북도 정읍시청,동물병원,개,전라북도 정읍시 칠보면 칠보중앙로 77-4,전라북도 정읍시 칠보면 시산리 597-7,35.602881,126.9923158,2019-01-02,09:00,18:00,09:00,18:00,,,,,토요일 오후+일요일,1,1,1,1,1,1,1,063-539-7114,2019-04-03,4690000,전라북도 정읍시,
자인동물보호소,경산시,동물병원,"개,고양이",경상북도 경산시 용성면 육동로 220-18(용성면),경상북도 경산시 부제리 737-1,35.779577,128.881925,2018-01-01,09:00,18:00,,,,,,,연중무휴,1,1,1,1,,,1,053-810-6713,2018-08-24,5130000,경상북도 경산시,
인천종합동물병원,인천광역시 동구청,동물병원,개+고양이,인천광역시 동구 솔빛로 2,인천광역시 동구 송현동 99-15,37.476572,126.6336309,2017-01-01,10:00,20:00,10:00,20:00,10:00,18:00,10:00,18:00,연중무휴,1,3,1,2,1,1,2,032-765-0112,2019-06-30,3500000,인천광역시 동구,
예천군유기동물보호소,예천군청,개인,개,경상북도 예천군 예천읍 충효로 632-84,경상북도 예천군 예천읍 통명리 551-1,36.674497,128.476168,2016-07-26,09:00,18:00,09:00,18:00,,,,,주말+공휴일,1,1,,,,,,054-650-6578,2019-04-25,5230000,경상북도 예천군,
경동동물병원,경제정책과,동물병원,개+고양이+기타,인천광역시 중구 개항로 68,,37.471909,126.6299454,2017-12-22,09:00,18:00,,,,,,,연중무휴,1,2,,,,,,032-765-9988,2019-04-09,3490000,인천광역시 중구,
진주시 유기동물보호소,경상남도 진주시청,법인,개,경상남도 진주시 집현면 신당길207번길 22,경상남도 진주시 집현면 신당리 623-2,35.227444,128.123027,2005-06-16,09:00,18:00,09:00,18:00,,,,,토+일,3,2,0,1,1,1,1,055-749-7974,2018-10-10,5310000,경상남도 진주시,
사단법인 하얀비둘기,영도구청,법인,"개,고양이",부산광역시 강서구 수가로 659-13,부산광역시 강서구 범방동 1792-4,35.1710494347,128.877213603,2019-01-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,변동,1,1,1,40,1,1,2,051-293-9779,2019-07-24,3280000,부산광역시 영도구,
이성준동물병원,경기도 안성시청,동물병원,"개,길고양이",경기도 안성시 중앙로 431-1,경기도 안성시 봉남동 326-2,37.006555,127.274781,2018-01-19,09:30,19:00,09:30,19:00,10:30,13:30,10:30,13:30,일요일,1,2,2,2,1,1,1,031-673-5858,2019-03-31,4080000,경기도 안성시,
보성유기동물보호센터,전라남도 보성군청,개인,개,전라남도 보성군 노동면 노동천동길 209,전라남도 보성군 노동면 신천리 137-1,34.8298863,127.0654866,2019-05-23,09:00,18:00,,,,,,,연중무휴,0,1,,1,,,1,3666-5354,2019-06-26,4890000,전라남도 보성군,
누리동물보호센터,부산광역시 기장군청,동물병원,개+고양이+기타,부산광역시 해운대구 송정2로13번길 46,부산광역시 해운대구 송정동 85-1,35.194811,129.206193786,2018-01-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,공휴일,2,2,1,8,1,1,3,051-709-7599,2019-08-26,3400000,부산광역시 기장군,
태백유기동물,강원도 태백시,개인,개,강원도 태백시 문의재로 5(통동),강원도 태백시 통동 75-81,37.1728393,129.040746,2013-04-01,09:00,18:00,13:00,18:00,,,,,연중무휴,0,1,,,,,,033-553-7000,2019-06-19,4220000,강원도 태백시,
정선가축병원,농업기술센터,동물병원,유기동물,강원도 정선군 정선읍 정선로 1321,강원도 정선군 정선읍 봉양리 220-6,37.379665,128.660687,2018-01-01,09:00,19:00,09:00,19:00,09:00,14:00,09:00,14:00,일요일 공휴일,1,1,1,3,1,1,1,033-563-0198,2018-09-04,4290000,강원도 정선군,
다나동물병원,농업기술센터,동물병원,유기동물,강원도 정선군 정선읍 비봉로 46,강원도 정선군 정선읍 봉양리 321-3,37.381322,128.663159,2018-01-01,09:00,19:00,09:00,19:00,09:00,14:00,09:00,14:00,일요일 공휴일,1,0,1,1,1,1,1,033-563-6563,2018-09-04,4290000,강원도 정선군,
사단법인 한국동물구조관리협회,서울특별시강서구청,법인,개+고양이+기타동물,경기도 양주시 남면 감악산로 63-37,,36.739808,126.912685,2017-03-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,7,2,8,2,1,5,031-867-9119,2018-11-20,3150000,서울특별시 강서구,
대구광역시 달성군 동물보호센터,달성군청,법인,개+고양이+기타,대구광역시 북구 호국로 229,,35.922346,128.599039,2017-01-25,09:00,18:00,,,,,,,국공휴일,6,6,,,,,,053-764-3708,2019-06-25,3480000,대구광역시 달성군,
단양군유기동물보호소,단양군,단체,"개, 고양이 등 유기동물",충청북도 단양군 단양산업단지2로 88-34,충청북도 단양군 매포읍 단양산업단지2로 88-34,37.017203,128.301233,2008-11-08,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,0,1,0,3,1,1,1,043-422-4351,2018-07-31,4480000,충청북도 단양군,
누리동물병원,동래구청,법인,유기동물,부산광역시 해운대구 송정2로 13번길 46,,35.1948541028,129.206193786,2018-01-01,00:00,12:00,09:00,18:00,00:00,12:00,09:00,18:00,"토,일,공휴일",1,5,1,9,1,1,3,051-701-7599,2019-08-22,3300000,부산광역시 동래구,
대구유기동물보호센터,대구광역시 달서구청,동물병원,개+고양이+기타애완동물일부,대구광역시 동구 금강로 151-13,,35.86387405,128.735955,2017-01-01,09:00,18:00,,,,,,,일요일+공휴일,1,3,,,,,,053-964-6258,2019-05-31,3470000,대구광역시 달서구,
러브펫종합동물병원,서울특별시 관악구청,동물병원,개+고양이+기타유기동물,서울특별시 관악구 남부순환로 1451,서울특별시 관악구 신림동 543-7,37.481566,126.9120098,2014-03-11,09:00,18:00,,,,,,,연중무휴,2,5,,,,,,02-837-8875,2019-05-30,3200000,서울특별시 관악구,
포항시동물보호센터,포항시 축산과,단체,개+고양이+야생동물(유해조수 제외),경상북도 포항시 북구 흥해읍 덕장길 224,경상북도 포항시 북구 흥해읍 덕장리 산67-2,36.145682151,129.332620919,2019-07-01,09:00,18:00,,,09:00,18:00,,,연중무휴,1,4,1,6,1,1,1,054-262-8295,2019-08-20,5020000,경상북도 포항시,
삼척시유기동물보호소,삼척시청 축산과,개인,개+고양이,강원도 삼척시 척주로 131 아름애견,강원도 삼척시 정상동 448-8,37.4419669,129.1774042,2017-09-01,09:00,18:00,09:00,18:00,,,,,공휴일,0,2,0,1,1,1,1,033-574-4942,2019-06-26,4240000,강원도 삼척시,
종합가축병원,문경시청,동물병원,개+고양이,경상북도 문경시 중앙로 170(흥덕동),경상북도 문경시 흥덕동 200-1,36.599668,128.202545,2017-07-11,09:00,22:00,09:00,19:00,09:00,22:00,10:00,14:00,일요일+공휴일,1,2,,,,,,054-552-2233,2019-05-20,5120000,경상북도 문경시,
용인시 동물보호센터,용인시청,동물병원,"개+고양이+기타(고슴도치, 앵무새, 토끼, 햄스터 등)",경기도 용인시 처인구 중부대로 1074-1,경기도 용인시 처인구 삼가동 164번지,37.243299,127.1591338,2017-01-02,09:00,18:00,10:00,16:00,09:00,18:00,10:00,16:00,토요일+일요일+공휴일,1,6,1,6,2,1,1,031-324-3465,2019-04-04,4050000,경기도 용인시,
KU건국동물병원,충청남도 예산군청,동물병원,개+고양이,충청남도 예산군 예산읍 벚꽃로 153,,36.694184,126.836326,2018-01-01,09:00,19:00,09:00,19:00,09:00,17:00,09:00,17:00,일,2,2,2,1,1,1,2,041-335-1023,2018-08-27,4610000,충청남도 예산군,
창녕유기동물보호소,경상남도 창녕군청,단체,"유실,유기동물(길고양이는 제외)+피학대동물 중 소유자 알수없거나, 적정한 치료및 보호를 받지 못하는 동물",,경상남도 창녕군 고암면 억만리 28-1,35.573974,128.507423,2016-07-05,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,공휴일,1,1,0,2,1,1,1,055-530-6103,2019-06-26,5410000,경상남도 창녕군,
영암 유기동물 삼호 보호소,전라남도 영암군청,개인,개,전라남도 영암군 삼호읍 녹색로 1117-49,전라남도 영암군 삼호읍 산호리 277-21,34.748372,126.485851,2017-04-01,09:00,18:00,13:00,18:00,09:00,18:00,13:00,18:00,공휴일,0,1,0,50,3,1,0,070-9599-5400,2019-06-19,4940000,전라남도 영암군,
천안시 유기동물보호소,충청남도 천안시,단체,유기동물,충청남도 천안시 동남구 목천읍 학수소사길 132,충청남도 천안시 목천읍 소사리 178,36.7379013,127.1732576,2019-03-14,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,연중무휴,1,8,,,,,1,041-0000-0000,2019-06-14,6440000,충청남도,
이기영수의과병원,충청남도 공주시,동물병원,개+고양이+기타,충청남도 공주시 감영길 7,충청남도 공주시 반죽동 194-3,36.4528566,127.122068,2019-03-01,00:00,23:59,09:00,21:00,00:00,23:59,09:00,21:00,연중무휴,1,3,2,1,1,2,3,041-853-7575,2019-06-12,6440000,충청남도,
임시동물보호소,충청남도 보령시농업기술센터,개인,"개, 고양이, 염소",충청남도 보령시 녹문3길 7,충청남도 보령시 내항동 139-3,36.3325806,126.5882243,2012-01-01,09:00,18:00,09:00,18:00,,,,,연중무휴,1,1,1,2,1,1,1,041-930-7909,2019-01-10,6440000,충청남도,
중부벳 동물병원,충청남도 아산시,동물병원,개+고양이+염소+유기동물,충청남도 아산시 충무로 295-9,충청남도 아산시 염치읍 석정리 99-21,36.8068969994,127.004818669,2016-07-01,09:00,18:00,09:00,12:00,09:00,18:30,09:00,12:00,일요일,1,3,1,1,1,1,2,041-537-3831,2019-06-12,6440000,충청남도,
성심동물병원,충청남도 서산시,동물병원,반려목적의 동물(길고양이제외),충청남도 서산시 안견로 312,,36.7774869,126.4488973,2019-01-01,09:00,19:00,,,,,,,연중무휴,1,1,,,,,,041-666-2747,2019-06-12,6440000,충청남도,
서산동물병원,충청남도 서산시,동물병원,반려목적의 동물(길고양이제외),충청남도 서산시 안견로 235,,36.7778902,126.457442,2018-01-01,09:00,19:00,,,,,,,토요일+일요일,2,0,,,,,,041-667-5525,2019-06-12,6440000,충청남도,
호크종합 동물병원,충청남도 논산시,동물병원,"개,고양이",충청남도 논산시 중앙로 398번길 2,충청남도 논산시 취암동 1051-2,36.199713,127.0895037,2019-01-22,09:30,18:30,09:30,18:30,09:30,18:00,09:30,18:30,일요일,1,1,1,,,,,041-736-8875,2019-06-11,6440000,충청남도,
유명동물병원,충청남도 논산시,동물병원,"개,고양이",충청남도 논산시 관촉로 288,충청남도 논산시 취암동 1039-11,36.204472,127.090745,2019-01-22,09:30,18:30,09:30,18:30,09:30,18:30,09:30,18:30,일요일,1,1,1,,,,,041-736-4290,2019-06-11,6440000,충청남도,
계룡시 유기동물보호소,충청남도 계룡시,개인,개+고양이,충청남도 계룡시 엄사면 천마로12,충청남도 계룡시 엄사면 유동리 1-15,36.2806825,127.2410301,2019-01-01,09:00,18:00,,,,,,,토요일+일요일,1,1,1,2,1,1,1,041-0000-0000,2019-06-11,6440000,충청남도,
당진시동물보호소,충청남도 당진시농업기술센터,개인,"개, 고양이",충청남도 당진시 고대면 연동로 30-6,충청남도 당진시 고대면 진관리 718-1,36.9340412511,126.596254,2019-01-01,09:00,18:00,09:00,18:00,,,,,연중무휴,1,3,1,5,1,1,1,041-356-8210,2019-06-01,6440000,충청남도,
우신동물병원,충청남도 금산군,동물병원,개+고양이+염소등 유기동물,충청남도 금산군 금산읍 오리정 1길 45,충청남도 금산군 금산읍 중도리 203-17,36.1049276,127.488096,2018-11-05,09:00,18:00,10:00,17:00,10:00,17:00,10:00,17:00,법정공휴일,1,0,1,4,1,0,0,041-753-8128,2019-06-13,6440000,충청남도,
녹십자 동물병원,충청남도 부여군,동물병원,개+고양이,충청남도 부여군 부여읍 성왕로 202-3,,36.2824146,126.910018,2018-01-01,08:30,18:30,,,,,,,토요일+일요일,1,1,,,,,,041-835-2879,2019-06-13,6440000,충청남도,
서천군 동물보호소,충청남도 서천군,개인,개+고양이,충청남도 서천군 마산면 한마로 1189-20,충청남도 서천군 마산면 나궁리 263,36.1796361,126.7729021,2019-01-01,09:00,18:00,10:00,17:00,09:00,18:00,10:00,17:00,일요일+추석+설,1,2,,10,2,1,1,041-950-4388,2019-06-11,6440000,충청남도,
종합동물병원,충청남도 청양군,동물병원,"개,고양이",충청남도 청양군 대치면 수석리 343,,36.470868,126.831294,2006-10-15,09:00,18:00,09:00,18:00,,,,,토요일+일요일+공휴일,1,0,,,,,,041-940-2973,2019-06-10,6440000,충청남도,
금일 동물보호소,충청남도 홍성군,개인,"개,고양이",충청남도 홍성군 홍동면 충절로 625,충청남도 홍성군 홍동면 신기리565-4,36.5788465,126.7055128,2014-01-01,08:00,18:00,09:00,18:00,08:00,18:00,08:00,18:00,연중무휴,1,2,,2,1,1,1,041-0000-0000,2019-06-10,6440000,충청남도,
KU건국 동물병원,충청남도 예산군,동물병원,개+고양이,충청남도 예산군 예산읍 벚꽃로 153,충청남도 예산군 예산읍 산성리 94,36.6941456,126.8363377,2019-01-01,09:00,19:00,09:00,19:00,09:00,17:00,09:00,17:00,일요일+추석+설,2,1,1,1,5,1,1,070-4177-1023,2019-06-11,6440000,충청남도,
최기중동물병원,충청남도 태안군,동물병원,개,충청남도 태안군 태안읍 중앙로 32,,36.755593,126.2930152,2018-01-01,09:00,19:00,13:00,19:00,09:00,16:00,13:00,16:00,일요일,1,1,1,1,1,1,1,041-672-0346,2019-06-12,6440000,충청남도,
남양주동물보호협회,경기도 남양주시청,단체,"유실,유기동물(길고양이는 제외)+피학대동물 중 소유자 알수없거나, 적정한 치료및 보호를 받지 못하는 동물",경기도 남양주시 금곡로 44,경기도 남양주시 금곡동 427-28,37.633921,127.207921,2015-11-13,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,공휴일,1,2,1,2,2,2,1,031-591-7270,2018-08-07,3990000,경기도 남양주시,
베스트동물병원,강화군청,동물병원,유기동물,인천광역시 강화군 강화읍 강화대로 217,인천광역시 강화군 강화읍 갑곳리 519-2,37.739791,126.505533,2018-12-28,10:00,20:00,10:00,20:00,10:00,13:00,10:00,13:00,자율,1,1,1,3,1,1,1,032-934-9340,2019-04-30,3570000,인천광역시 강화군,
청도군동물보호소,경상북도 청도군청,개인,개,경상북도 청도군 청도읍 월곡2길 15-15,경상북도 청도군 청도읍 월곡리 287-3,35.63162511,128.7581274,2018-04-24,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,1,1,23,1,1,1,054-370-6534,2019-05-13,5190000,경상북도 청도군,
담양유기동물보호센터,담양군,개인,개,,전라남도 담양군 용면 두장리 21,12.456789,123.456789,2018-03-06,00:00,00:00,,,,,,,0,0,1,,29,4,1,1,000-0000-0000,2019-05-31,4850000,전라남도 담양군,
제천시동물보호센터,충청북도 제천시,단체,1.유실유기동물 2. 피학대 동물 중 소유자를 알 수 없는 동물 3. 소유자로부터 제8조제2항에 따른 학대를 받아 적정하게 치료보호받을 수 없다고 판단되는 동물,충청북도 제천시 산곡동 94-1,충청북도 제천시 산곡동 94-1,37.097025,128.203426,2017-12-26,09:00,17:00,09:00,17:00,,,,,"토,일요일,공휴일",0,1,0,29,2,1,1,043-647-0059,2019-06-19,4400000,충청북도 제천시,
신영재동물병원,인천광역시 계양구청,동물병원,"개,고양이 등",인천광역시 계양구 장제로 923(병방동),인천광역시 계양구 병방동 426,37.548821,126.741361,2018-12-28,09:00,18:00,,,,,,,탄력운영,1,1,1,1,1,1,1,032-552-0075,2019-08-08,3550000,인천광역시 계양구,
세종시 유기동물지정병원,세종특별자치시,동물병원,개+고양이,세종특별자치시 장군면 장척로 274,,36.48897661,127.195688,2017-01-30,10:00,19:00,,,,,,,토요일+일요일,1,1,,,,,,044-864-7579,2019-08-22,5690000,세종특별자치시,
백마동물병원,인천광역시 부평구,동물병원,"개+고양이+기타(고슴도치, 앵무새, 토끼, 햄스터 등)",인천광역시 부평구 부평대로 132 (부평동),인천광역시 부평구 부평동 431-15,37.503228,126.7220809,2018-02-27,10:30,19:00,10:30,19:00,,,,,토요일+공휴일,1,2,1,2,1,1,1,032-528-1359,2019-06-10,3540000,인천광역시 부평구,
(사)한국동물구조관리협회,서울특별시 영등포구청,법인,개+고양이 등 유실·유기동물 및 피학대 동물,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.870073,126.983225,2017-06-01,09:00,24:00,,,10:00,18:00,,,연중무휴,1,6,,,,,,031-867-9119,2018-12-13,3180000,서울특별시 영등포구,
쿨펫동물병원,울산광역시 북구청,동물병원,개+고양이,"울산광역시 북구 진장유통로 64, 4층(진장동)",,35.5760993,129.3593240,2017-12-29,10:00,21:30,,,10:00,21:30,,,마트 휴무일,3,1,1,1,1,1,0,052-288-7572,2019-06-10,3720000,울산광역시 북구,
이솝동물병원,울산광역시 북구청,동물병원,개+고양이,울산광역시 북구 호계로 262(호계동),,35.6268056,129.352021,2017-12-29,10:00,19:00,,,10:00,18:00,,,일요일+공휴일,2,1,2,1,1,1,0,052-295-8875,2019-06-10,3720000,울산광역시 북구,
울산유기동물보호센터,울산광역시 북구청,단체,개+고양이,울산광역시 울주군 온양읍 화산발리로 543,,35.3911384,129.2859116,2017-12-29,09:00,18:00,,,09:00,18:00,,,없음,1,5,1,12,1,1,2,052-238-6113,2019-06-10,3720000,울산광역시 북구,
강진군유기견보호소,강진군청,법인,개,전라남도 강진군 강진읍 남당로 97-73,,34.6236226,126.7766094,2015-01-01,09:00,18:00,09:00,18:00,,,,,"주말,공휴일",1,1,0,8,1,0,0,061-430-3613,2018-08-28,4920000,전라남도 강진군,
사랑애완동물병원,통영시,동물병원,"개,고양이",경상남도 통영시 도산면 오륜리 1132,경상남도 통영시 도산면 오륜리 1132,34.908166,128.313031,2017-01-01,09:00,18:00,09:00,18:00,09:00,18:00,,,없음,1,0,1,1,1,1,0,055-648-7582,2019-04-12,5330000,경상남도 통영시,
펫토피아 동물병원,성남시청,동물병원,동물보호법 제14조에 따른 구조/보호 조치 대상 동물,경기도 성남시 분당구 불정로 266,경기도 성남시 분당구 수내동 87-1,37.367101,127.127801,2017-01-01,10:00,18:00,,,,,,,"주말, 공휴일",1,3,3,3,2,1,2,031-174-8391,2019-04-05,3780000,경기도 성남시,
가나동물병원,경상북도 경주시청,동물병원,유실유기동물,경상북도 경주시 금성로 385,경상북도 경주시 성건동 698-8,35.852134,129.206636,2017-10-01,9:30,18:00,9:30,18:00,,,,,일요일,1,1,1,1,1,1,0,054-774-9975,2019-08-30,5050000,경상북도 경주시,
공원옆동물병원,경상북도 경주시청,동물병원,유실유기동물,경상북도 경주시 용담로 12,경상북도 경주시 황성동 357-5,35.860875,129.219679,2017-01-01,9:30,18:00,9:30,18:00,,,,,일요일,1,1,1,1,2,1,0,054-771-0055,2019-08-30,5050000,경상북도 경주시,
파주시수의사회,파주시,단체,개,경기도 파주시 방촌로 1636,경기도 파주시 문산읍 문산리 133-2번지,37.860598,126.778143,2018-01-01,09:00,18:00,09:00,18:00,,,,,공휴일,21,29,17,17,17,17,2,031-952-7576,2019-03-25,4060000,경기도 파주시,
죽전TNR동물병원,경기도 광주시청,동물병원,개+고양이,경기도 용인시 처인구 모현면 대지로 407,경기도 용인시 처인구 모현면 오산리 193-28,37.331092,127.150982,2018-02-01,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,일요일+공휴일,1,2,1,4,1,2,1,031-322-7586,2019-05-10,5540000,경기도 광주시,
답21동물병원,충청남도 서산시청,동물병원,유기견,충청남도 서산시 호수공원12로 13,충청남도 서산시 예천동 1300-7,36.766397,126.442097,2012-06-01,10:00,20:00,,,,,,,공휴일,1,0,,,,,,041-666-0750,2018-09-03,4530000,충청남도 서산시,
서산동물병원,충청남도 서산시청,동물병원,유기견,충청남도 서산시 안견로 235,충청남도 서산시 동문동 1024-6,36.778174,126.457463,2018-01-01,09:00,19:00,,,,,,,공휴일,2,0,,,,,,041-667-5525,2018-09-03,4530000,충청남도 서산시,
원주시유기동물보호센터,강원도 원주시청,개인,개+고양이,강원도 원주시 호저면 칠봉로 110-6,강원도 원주시 호저면 주산리 산87-5,37.416061,127.911829,2006-06-03,09:00,18:00,09:00,12:00,09:00,12:00,09:00,12:00,연중무휴,1,0,1,4,1,1,1,033-731-1119,2019-05-22,4190000,강원도 원주시,
(사)한국동물구조관리협회,서울특별시 강남구청,법인,개+고양이+햄스터+앵무새,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.8700725,126.9832252,2016-03-01,09:00,18:00,09:00,16:00,09:00,18:00,09:00,16:00,일요일,1,6,1,5,1,1,1,031-867-9119,2019-08-21,3220000,서울특별시 강남구,
양평군 “품” 유기동물보호센터,양평군청 농업기술센터 축산과,법인,"개, 고양이",경기도 양평군 양평읍 농업기술센터길 59,경기도 양평군 양평읍 공흥리 1-2번지,37.5109837,127.5133702,2019-01-01,09:00,18:00,14:30,16:30,,,,,없음,1,4,1,21,1,1,1,031-770-3645,2019-05-28,4170000,경기도 양평군,
