연번,업소명,영업자성명,소재지(지번),소재지전화번호,업태명,주취급음식
276,됐소 강남점,정영석,서초구 서초동 1330-15호 2층(익산빌딩),02-586-8588,구이류,등심(안심)
277,춘향골 추어탕,이범철,서초구 서초동 1342-7,02-3472-0050,한식,추어탕
278,끌어당김,김은희,서초구 서초동 1359-22,02-521-4040,한식(구이류),한식요리
279,락앤웍 서초점,진유선,서초구 서초동 1364-28,02-3473-3336,중식,탕수육
280,다피타,강희영,서초구 서초동 1487-3,,양식,"파스타, 피자"
281,다피타,강희영,서초구 서초동 1503-16,,양식,"파스타, 피자"
282,진도 올돌목 가는길,박안나,서초구 서초동 1540-1,,한식,한정식
283,전라도 밥상,허희순,서초구 서초3동 1542-5,02-558-1542,한식,한정식
284,포메인 서초점,김재용,서초구 1543-8,02-521-0722,한식,쌀국수
285,리향,유영대,서초구 서초3동 1552-7,02-525-3580,중식,중화요리
286,해담,김윤공,서초구 1563-4,02-583-0016,일식,회
287,누들팩토리,유연수,서초구 서초동 1604-17,,한식,면류
288,송학횟집,김민선,서초구 서초4동 1699-2,02-595-8822,일식,회
289,중일면옥,박민지,서초구 서초동 1713-4(길도빌딩 1층),02-596-3770,한식,"갈비탕, 냉면"
290,들내음 칼국수,권영미,서초구 신원동 195-18 1층,,한식,칼국수
291,황태마을,주윤자,서초구 우면동 13-9,02-573-8926,한식,황태구이
292,오동도산아나고숯불구이,박인수,서초구 방배동 3001-1,,한식,아나고숯불구이
293,수원본갈비1993,김동희,서초구 서초동 1511-2,02-597-8292,한식,생갈비
294,아빠곰탕강남점,이종혁,서초구 서초동 1302-2,02-3482-1224,한식,곰탕
295,영주축협한우프라자청계산역점,서병국,서초구 신원동 270-10 ,02-579-9292,한식,한우생등심
